user,link,text,created_at,#likes,#comments,#retweets
Virat Kohli,https://twitter.com/imVkohli/status/1796415469471359443#m,Dive into the hues of my travels with this brand new collection from @AMtouristerIN 🙌🔥🤌  Here’s me adding some personality to my vacations! #TravelWithAmericanTourister #AmericanTouristerIndia #AmericanTourister,"May 31, 2024 · 5:36 AM UTC",17727,1289,1201
Virat Kohli,https://twitter.com/imVkohli/status/1796143545201406183#m,"Playing with a T-Rex? No biggie. 🦖🥤 Myntra's End Of Reason Sale? Now THAT'S a big deal. 🛍️ Go on, shop like a boss!  🔗bit.ly/3UZp37N  @StayWrogn @Myntra  #WrognLikeABoss #MyntraSale #EndOfReasonSale #StayWrogn","May 30, 2024 · 11:36 AM UTC",21204,662,1400
Virat Kohli,https://twitter.com/imVkohli/status/1796053148676632666#m,🛸 Out-of-this-world deals are here! 🔗bit.ly/3UYqhQR The sale starts tonight! Hurry before the aliens get them! 👽♟️ @StayWrogn @Myntra @FlipKart  #WrognThrowawayFestival #ShopLikeABoss #AlienApproved #StayWrogn,"May 30, 2024 · 5:36 AM UTC",14132,394,1080
Virat Kohli,https://twitter.com/imVkohli/status/1795350737305866435#m,You know what’s the biggest challenge in cricket? The next one. The biggest of them all.  And to prepare for that you need to fuel your stamina.  The all new boost milkshake. Fuel up.  #collab #Boost #SecretOfMyEnergy #Stamina #BoostIndia,"May 28, 2024 · 7:05 AM UTC",21477,712,1705
Virat Kohli,https://twitter.com/imVkohli/status/1794986154913357943#m,"Unleash the magic!  PICK PLAY PERSOANLISE wherever you go! The all new American Tourister backpack collection is as unique as your child's imagination!  Get ready to turn heads and spread smiles wherever you go, grab the all new collection at https://www.americantourister.in/backpacks #TravelWithAmericanTourister #AmericanTouristerIndia #AmericanTourister","May 27, 2024 · 6:57 AM UTC",16037,346,1250
Virat Kohli,https://twitter.com/imVkohli/status/1794613944910483576#m,"Just got saved from the heatwave by O’cean Fruit Water! Try cool summer flavours: Strawberry Lime, Tropic Pineapple & Lively Lychee. Bursting with taste, Vitamin C, B vitamins & minerals. Dive in now! Available at oceanbeverages.in or stores near you. @OceanBeverages #ad","May 26, 2024 · 6:18 AM UTC",16034,545,1276
Virat Kohli,https://twitter.com/imVkohli/status/1787724797306421487#m,Watch how I welcome some unwanted visitors this summer with my Blue Star Fast-Cooling Inverter AC. #GarmiKiChhutti #BlueStar #FastCoolingAC #Summer #Ad,"May 7, 2024 · 6:03 AM UTC",20277,946,1244
Virat Kohli,https://twitter.com/imVkohli/status/1786992005404414109#m,Any suggestions on what we can do about him? 😓 🔗 bit.ly/44tu8K3,"May 5, 2024 · 5:31 AM UTC",5418,133,321
Virat Kohli,https://twitter.com/imVkohli/status/1786991981350015111#m,"The self proclaimed Master of Mischief, is making sure everything goes wrong!  🔗bit.ly/3JLyNxj","May 5, 2024 · 5:31 AM UTC",5909,135,353
Virat Kohli,https://twitter.com/imVkohli/status/1786991968083489195#m,Monster Murphy is at it again.🤦🏼‍♂️ 🔗bit.ly/44uXDLG,"May 5, 2024 · 5:31 AM UTC",16947,516,1257
Virat Kohli,https://twitter.com/imVkohli/status/1786290879151694230#m,"Crafted for you, created by me!  Presenting my first collaboration where I co-designed the limited-edition Philips beard trimmer. This trimmer is a fusion of Philips’ cutting edge technology and my artistic style which gives you a perfect trim without any nicks. What are you waiting for? Get one for yourself today!","May 3, 2024 · 7:05 AM UTC",12095,450,979
Virat Kohli,https://twitter.com/imVkohli/status/1785220656403300472#m,"Every summer feels hotter than the last, so it's crucial to stay hydrated. Try O’cean Fruit Water - it could even score u some cool gear! Check out the video for deets. 50 winners announced on Jun 1 on @oceanbeverages insta! Available atwww.oceanbeverages.in & stores near u. #Ad","Apr 30, 2024 · 8:12 AM UTC",19218,788,1521
Virat Kohli,https://twitter.com/imVkohli/status/1782281153300304159#m,"Airport scenes just got an upgrade, courtesy of my travel partner – the sophisticated #HEMIS from @AMtouristerIN 🔥🤌🤩 #TravelWithAmericanTourister #AmericanTouristerIndia #AmericanTourister","Apr 22, 2024 · 5:31 AM UTC",14063,645,1160
